scrape_city_id,scrape_city_name,oyo_id,name,city,address,rating,price,latitude,longitude
7,Jaipur,191754,Hotel O La Costa,,"B-13, Maan Vihar, Hari Marg, Jai Ambey Colony, Civil Lines , Jaipur, Jaipur, India , Jaipur",,,26.9070447,75.7815912
7,Jaipur,306804,Hotel O Shine,,"Plot No 2 Gandhinagar Railway Station Gate No. 2 Plot No 2 Gandhinagar Railway Station Gate No. 2 Tonk Road, Jaipurnull, Jaipur",,,26.8720228,75.7989831
7,Jaipur,352207,Palette Hotel and Resort Kalwar Road Jaipur Formerly Jai Madhav Resort,,"Maheshpur Kalan, Jalsu, Jaipur",,,27.0318846,75.6143586
7,Jaipur,331880,Hotel O by OYO Krishna Palace,,"plot no 332 B badrinath colony amer SBI BANK STREET near nation handloom sagar road, Jaipur",,,26.9915546,75.853583
7,Jaipur,39000,Hotel O Jai Palace,,"purusharath nagar, A extension, Opp Union Bank, 200 Ft Mahal Rd, jagatpuraNear Purusharath Nagar, Jagatpura, JaipurNear Purusharath Nagar, Jagatpura, JaipurNear Purusharath Nagar, Jagatpura, Jaipur, Jaipur",,,26.826917,75.845556
7,Jaipur,245705,Hotel O HRD GUEST HOUSE & HOMESTAY,,"Plot No. 68/18 Hear Path Near Gurudwara Opposite Shiv Hunman Mandir, Ward 27, Mansarovar, Sector 6, Jaipur, Jaipur",,,26.8617753,75.7598637
7,Jaipur,227098,Vip Inn Hotel,,"plot no 76 , 200ft bypassNiwaru road jhotwaraward 1, Jaipur",,,26.9585655,75.7353595
7,Jaipur,79251,Sunday Hotel Jaipur,,"22 Godam Circle, MGF Metropolitan, Durgadas Colony, C Scheme, Ashok Nagar, Jaipur, Rajasthan, Jaipur",,,26.902914655662066,75.79348261906033
7,Jaipur,55147,Hotel O Season Park 2,,"Sector 14/82-8 3, Girdhar Marg, Near Amit Bhardwaj Petrol Pump, Reliance Fresh, Malviya Nagar, Jaipur, Jaipur",,,26.8468009,75.8091108
7,Jaipur,246776,Hotel O Shree Shyam,,"112/129 112/129 112/129Ram Tirth Marg, Thadi Market, Jhalana Chhodnull, Jaipur",,,11.4233412017295,76.870114132762
7,Jaipur,328909,Hotel O Radha Residency,,"Salasar colony 2nd, Manipal University Road Jaipur, Dahmi kalan, Jaipur",,,26.8349722,75.568
7,Jaipur,234515,Hotel O by OYO Sunrise Palace,,"F BLOCK,Naryan Vihar, Mansarovar, Jaipur",,,26.869306,75.721639
7,Jaipur,222746,Hotel O Moon Mahal ,,"1, Jaipur Delhi Highway, near Bharat petroleum Kunda, Jaipur, India , Jaipur",,,27.0050648,75.877015
7,Jaipur,299104,HOTEL O PRIME,,"k9 k9   near sg hospital tonk road , Durgapura Tonk Road, Income Tax Colony, Jaipur",,,26.8517972,75.7945843
7,Jaipur,295076,Heera O Palace,,"Plot No - K1 Keshav Path, Ahinsa Circle, C Scheme, Jaipur",,,26.915611,75.805472
7,Jaipur,250831,Hotel O BikanerWala ,,"Plot no 35, Sector 5, Indira Gandhi Nagar, Jagatpura, Jaipur",,,26.8376101,75.8919953
7,Jaipur,356594,SPOT ON Pankhudi Hotel And Bar ,,"Delhi Highway, Akhepura, Jaipur",,,27.0362098,75.8065965
7,Jaipur,263746,Hotel O Luxury Inn - 2,,"Plot No C-136, Vigyan Nagar, Near Jaigarh marriage Garden,Plot No C-136, Vigyan Nagar, Near Jaigarh marriage Garden,Main Mahal Road, Jagatpura, Jaipur",,,26.8203536,75.851203
7,Jaipur,220842,Hotel O The Legent Hotel,,"H.NO 192/323, RHB PRATAP NAGAR, SANGANER,, Jaipur",,,26.945119,75.6775833
7,Jaipur,209521,Hotel O Classic Mansarovar,,"Plot Number 42/49/07, First Floor, Mansarovar Scheme, Jaipur",,,26.8691387,75.7535643
7,Jaipur,330441,Hotel  O H Pass,,"Plot No- 40,  Sumer Nagar Vistar Mansarovar, Jaipur",,,26.8457253,75.761123
7,Jaipur,328821,Hotel O Royal palace FAGI mod bus stand chaksu tonk road,,"plot no. 18 fagi mod bus stand chaksu jaipur Landmark . Tonk road Nearby ankho kaa aspataal, Jaipur",,,26.608583,75.944556
7,Jaipur,205139,Hotel O Rushank Residency ,,"Plot No C-164, Jan Path, Kings Rd, near Dana Pani restaurant, Nirman Nagar, Jaipur",,,26.88925,75.753472
7,Jaipur,234563,Hotel O Rudra palace,,"B-1A Kardhani, Kalwar Rd, Kardhani Govindpura, Govindpura, Jaipur",,,26.9517502,75.7090004
7,Jaipur,296980,Hotel O  Golden Sakura,,"C-295 Jan Path, Nirman Nagar, Jaipur",,,26.8888268,75.7523213
7,Jaipur,206011,Hotel O Hastinapur Residency,,"D-19, Shivpuri Colony, Sanganer, Maruti Nagar, Jaipur",,,26.818348,75.813217
7,Jaipur,79337,Hotel O Blooming Beds,,"117/661, opposite Sardar Patel Public School, Agarwal Farm, Jhalana Chhod, Mansarovar, Jaipur, Rajasthan , Jaipur",,,26.8438528,75.7747263
7,Jaipur,15781,Hotel O Aditya Residency,,"Panchsheel Enclave, JLN Marg, Jaipur",,,26.845306,75.799667
7,Jaipur,243280,Hotel O Shayla Inn,,"Plot no C23, Agrawal Farm Vikramaditya marg , shopping centre , mansarovar , jaipur, , Jaipur",,,26.8414981,75.7727059
7,Jaipur,359731, HOTEL O VIVAAN ,,"Plot no.- A14/15, A-Block, Officers Enclave, Mansarovar, Nearby Landmark- Kalyanpura, Jaipur",,,26.82422,75.7671445
7,Jaipur,106196,Collection O Blue Shine,,"B5, Parvati Nagar, Near Shani Mandir Lane, Opp. glass factory, Gandhi Nagar Railway Station, Jaipur",,,26.8702782,75.7963766
7,Jaipur,304096,Hotel O Pink Palace,,"Plot no.19B Ram Gali no.7, Raja Park, Jaipur",,,26.89749,75.83303
7,Jaipur,362550,Hotel O Runway,,"plot no 95 plot no 95Airport Road jaipur airportnull, Jaipur",,,26.8216943,75.8085287
7,Jaipur,322071,Hotel O by OYO VELORA,,"53  RHB New Aatish Market, Shanthi Nagar MANSROVAR, Jaipur",,,26.878821,75.758397
